com.samsung.shealth.tracker.pedometer_step_count,6156001,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
53880,4,0,104,2021-02-25 11:24:00.000,230002,,2021-02-25 11:25:20.543,2021-02-25 11:25:20.543,104,1.3333334,71.84,5.32,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-25 11:24:59.999,4015853e-0864-c161-fe08-da77524e47b9,
20168,4,0,51,2021-02-26 08:44:00.000,,,2021-02-26 08:55:00.181,2021-02-26 08:55:00.181,51,2.010753,40.554688,1.8647461,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2021-02-26 08:45:00.000,7847f07c-9fd2-4222-96ce-56d43cea5f25,
7545,4,1,13,2021-02-26 07:06:00.000,230002,,2021-02-26 07:08:41.678,2021-02-26 07:08:41.678,14,1.4166666,10.69,0.62,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-26 07:06:59.999,503b7cea-7938-3ae3-ccf6-49f81e7d9cf9,
58498,4,156,0,2021-02-25 12:06:00.000,,,2021-02-25 12:10:45.637,2021-02-25 12:10:45.637,156,2.9600546,173.16016,12.756714,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2021-02-25 12:07:00.000,900449ac-b02c-4fa9-86ea-2be3350addae,
45474,4,0,104,2021-02-25 11:43:00.000,230002,,2021-02-25 11:45:04.543,2021-02-25 11:43:34.616,104,1.4284779,64.959,4.12,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-25 11:43:59.999,a5ecbf6f-155e-08ca-fdcf-6ff29de86632,
57733,4,157,0,2021-02-25 12:04:00.000,230002,,2021-02-25 12:05:03.317,2021-02-25 12:04:03.760,157,2.5131018,145.091,11.04,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-25 12:04:59.999,05bd13a1-412a-8f44-d279-b7db99bc8965,
58097,4,156,0,2021-02-25 12:12:00.000,,,2021-02-25 12:15:00.289,2021-02-25 12:15:00.289,156,2.98296,173.30273,12.764404,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2021-02-25 12:13:00.000,71f40316-f0a1-4bb4-93a8-f9ee5bb1d369,
5040,4,0,10,2021-02-26 07:25:00.000,230002,,2021-02-26 07:25:37.325,2021-02-26 07:25:37.325,10,1.5277778,7.7,0.37,UTC+0200,RHeBeWmk3Z,com.sec.android.app.shealth,2021-02-26 07:25:59.999,5e3d23a0-82a9-b90d-41a0-15f08ac5592c,
7210,4,0,6,2021-02-25 09:07:00.000,,,2021-02-25 09:07:42.679,2021-02-25 09:07:42.679,6,0.60489166,4.361328,0.2277832,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2021-02-25 09:08:00.000,9b55efb5-77da-447a-b4b3-88e1ca1d1be5,
21423,4,0,40,2021-02-26 07:27:00.000,,,2021-02-26 07:27:42.288,2021-02-26 07:27:42.288,40,1.4243784,30.515625,1.4694824,UTC+0200,vC702BfhH0,com.sec.android.app.shealth,2021-02-26 07:28:00.000,91a54513-1397-4aff-81c0-8dd7cf0a2695,
